data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2021-05-30 02:00:54.782021;2041;AUTO VIACAO PRESIDENTE VARGAS LTDA;IQC5549;M. BENZ;O-500M;2009-09-11;2009;DIESEL
2021-05-30 02:00:54.782021;2046;AUTO VIACAO PRESIDENTE VARGAS LTDA;IPD2774;M. BENZ;OF 1722M;2008-09-16;2008;DIESEL
2021-05-30 02:00:54.782021;2001;AUTO VIACAO PRESIDENTE VARGAS LTDA;IOZ2911;M. BENZ;OF 1722M;2008-08-06;2008;DIESEL
2021-05-30 02:00:54.782021;2013;AUTO VIACAO PRESIDENTE VARGAS LTDA;IQU6931;M. BENZ;O-500M;2010-05-25;2010;DIESEL
2021-05-30 02:00:54.782021;6621;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1129;M. BENZ;OF 1721;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6672;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISI8919;M. BENZ;OF 1722;2011-10-05;2011;DIESEL
2021-05-30 02:00:54.782021;3051;SUDESTE TRANSPORTES COLETIVOS LTDA;IPA1989;M. BENZ;O-500M;2008-08-15;2008;DIESEL
2021-05-30 02:00:54.782021;3067;SUDESTE TRANSPORTES COLETIVOS LTDA;IQB7489;M. BENZ;O-500M;2009-09-02;2009;DIESEL
2021-05-30 02:00:54.782021;3087;SUDESTE TRANSPORTES COLETIVOS LTDA;IRA6544;M. BENZ;O-500M;2010-08-17;2010;DIESEL
2021-05-30 02:00:54.782021;3327;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1380;M. BENZ;O-500M;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;1117;TRANSPORTES COLETIVOS TREVO LTDA;IXC1965;M. BENZ;O-500M;2016-02-16;2015;DIESEL
2021-05-30 02:00:54.782021;1100;TRANSPORTES COLETIVOS TREVO LTDA;IXC0925;VW;17230;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;1115;TRANSPORTES COLETIVOS TREVO LTDA;IXC0939;VW;17230;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;1044;TRANSPORTES COLETIVOS TREVO LTDA;ISM8188;M. BENZ;OF 1722;2011-11-22;2011;DIESEL
2021-05-30 02:00:54.782021;1161;TRANSPORTES COLETIVOS TREVO LTDA;IRJ5416;M. BENZ;OF 1722M;2010-12-01;2010;DIESEL
2021-05-30 02:00:54.782021;4401;VIACAO ALTO PETROPOLIS LTDA;IXC1406;M. BENZ;OF 1721;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;4511;VIACAO ALTO PETROPOLIS LTDA;IXC1438;M. BENZ;O500 U;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6517;NORTRAN TRANSPORTES COLETIVOS LTDA;IQA2619;M. BENZ;O-500M;2009-08-14;2009;DIESEL
2021-05-30 02:00:54.782021;2335;VIACAO BELEM NOVO LTDA;IQI3366;M. BENZ;OF 1722M;2009-11-30;2009;DIESEL
2021-05-30 02:00:54.782021;2363;VIACAO BELEM NOVO LTDA;ITW8932;M. BENZ;O500MA;2012-12-26;2012;DIESEL
2021-05-30 02:00:54.782021;605;COMPANHIA CARRIS PORTO ALEGRENSE;IPE8213;VOLVO;B12M;2008-10-02;2008;DIESEL
2021-05-30 02:00:54.782021;766;COMPANHIA CARRIS PORTO ALEGRENSE;IRA3876;M. BENZ;O500 U;2010-08-12;2010;DIESEL
2021-05-30 02:00:54.782021;716;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3888;VOLVO;B7R;2010-07-16;2010;DIESEL
2021-05-30 02:00:54.782021;745;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3672;M. BENZ;O-500M;2010-07-16;2010;DIESEL
2021-05-30 02:00:54.782021;847;COMPANHIA CARRIS PORTO ALEGRENSE;IWO4108;VOLVO;B290R;2015-05-29;2014;DIESEL
2021-05-30 02:00:54.782021;2011;AUTO VIACAO PRESIDENTE VARGAS LTDA;ISQ8278;M. BENZ;O-500M;2011-12-29;2011;DIESEL
